zone,state,lga,sector,ea,hhid,plotid,s11dq1,s11dq2,s11dq3,s11dq3b,s11dq4,s11dq5,s11dq5b,s11dq6,s11dq7,s11dq7b,s11dq8,s11dq9a,s11dq9b,s11dq10,s11dq11,s11dq11b,s11dq12,s11dq13a,s11dq13b,s11dq14,s11dq15,s11dq15b,s11dq16,s11dq17,s11dq18,s11dq18b,s11dq19,s11dq20,s11dq21,s11dq22,s11dq23,s11dq24,s11dq25a,s11dq25b,s11dq26,s11dq27,s11dq27b,s11dq28,s11dq29,s11dq30,s11dq30b,s11dq31,s11dq32,s11dq33,s11dq34,s11dq35,tracked_obs
4,1,107,2,1044,10065,1,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N1,1,,50,200,5,,5600,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10065,2,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N1,1,,50,200,5,,5600,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10065,3,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N1,1,,50,200,5,,5600,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10066,1,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N1,1,,50,300,5,,6500,1,NA,NA,,1,2,NA,N1,1,,10,650,5,,300,1,NA,NA,,0
4,1,107,2,1044,10066,2,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N1,2,,50,300,5,,6500,1,NA,NA,,1,2,NA,N1,1,,10,650,5,,300,1,NA,NA,,0
4,1,107,2,1044,10066,3,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N1,1,,50,300,5,,6500,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10067,1,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,2,N2,2,,50,300,5,,5500,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10067,2,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,2,N2,2,,50,300,5,,5500,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10067,3,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,2,N2,1,,50,300,5,,5500,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10067,4,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,2,N2,1,,50,300,5,,5500,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10068,1,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N2,1,,50,500,5,,5400,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10068,2,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N2,2,,50,500,5,,5400,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10069,1,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,9,N1,2,,50,300,5,,6000,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10069,2,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,9,N1,2,,50,300,5,,6000,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10069,3,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,9,N1,2,,50,300,5,,6000,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10069,4,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,9,N1,2,,50,300,5,,5500,2,NA,5500,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10069,5,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,9,N1,2,,50,300,5,,6000,2,NA,6000,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,107,2,1044,10070,1,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N3,1,,750,600,5,,7000,3,7000,3500,N3,1,2,NA,N3,1,,25,3500,5,,200,1,NA,NA,,0
4,1,107,2,1044,10070,2,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N3,1,,750,600,5,,7000,3,7000,3500,N3,1,2,NA,N3,1,,25,3500,5,,200,1,NA,NA,,0
4,1,117,2,560,10071,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10071,2,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10073,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10073,2,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10074,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10074,2,NA,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10075,1,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,NA,N2,1,,50,5000,6,,400,3,5000,NA,N2,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10075,2,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,NA,N2,1,,50,5000,6,,400,3,5000,NA,N2,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10075,3,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,NA,N2,1,,50,5000,6,,400,3,3000,2000,N2,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10075,4,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,NA,N2,1,,50,5000,6,,400,3,3000,2000,N2,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10075,5,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,NA,N2,1,,50,5000,6,,400,3,2500,2500,N2,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10076,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10076,2,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10077,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10078,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10078,2,NA,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10078,3,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10078,4,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10079,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10079,2,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10080,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10080,2,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10080,3,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10080,4,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,117,2,560,10080,5,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,110,2,76,10081,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,110,2,76,10081,2,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,110,2,76,10082,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,110,2,76,10084,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,110,2,76,10084,2,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,110,2,76,10084,3,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
