zone,state,lga,sector,ea,hhid,plotid,s11c1q1a1,s11c1q1a2,s11c1q1a3,s11c1q1a4,s11c1q1b1,s11c1q1b2,s11c1q1b3,s11c1q1b4,s11c1q1c1,s11c1q1c2,s11c1q1c3,s11c1q1c4,s11c1q1d1,s11c1q1d2,s11c1q1d3,s11c1q1d4,s11c1q2,s11c1q3,s11c1q4,s11c1q5,s11c1q6,s11c1q7,s11c1q8,s11c1q9,s11c1q10,tracked_obs
4,1,108,2,904,10108,1,1,32,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,650,1,2,600,NA,NA,NA,0
4,1,108,2,904,10108,2,1,32,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,108,2,904,10108,3,1,32,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,108,2,904,10109,1,1,8,1,5,2,30,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,108,2,904,10110,1,1,32,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,2,209,2,1040,20001,1,4,10,6,8,5,20,6,8,6,20,6,8,7,20,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,2,209,2,1040,20001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14,2000,NA,NA,NA,0
2,2,209,2,1040,20001,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,2,209,2,1040,20002,1,2,2,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,2,209,2,1040,20004,1,1,6,7,4,2,5,4,3,3,4,4,3,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,2,209,2,1040,20005,1,4,20,3,5,3,20,3,3,NA,NA,NA,NA,NA,NA,NA,NA,3,1,700,1,1,700,NA,NA,NA,0
