household_id,household_id2,ea_id,ea_id2,coord_desc,dist_road,dist_popcenter,dist_market,dist_borderpost,dist_admctr,pop_density,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm,twi,srtm_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2013_tot,h2013_wetQ,h2013_wetQstart,eviarea_avg,evimax_avg,grn_avg,sen_avg,h2013_eviarea,h2013_evimax,h2013_grn,h2013_sen,lat_dd_mod,lon_dd_mod
01010301804054,010103088801804054,01010301804,010103088801804,1,27.3,36.1,63.8,204.5,114.4,50-100,218,208,796,256,611,95,14,322,1749,13,8,1,1,5,1,1,1,5,925,719,18,1502,788,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
01010301804069,010103088801804069,01010301804,010103088801804,1,27.4,36.3,63.9,204.7,114.1,50-100,218,208,792,255,609,95,14,322,1784,11,13,1,1,5,1,1,1,5,924,718,18,1503,789,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
01010301804085,010103088801804085,01010301804,010103088801804,1,27.4,36.1,63.4,204.2,114.6,50-100,218,208,796,256,611,91,14,322,1769,11,13,1,1,5,1,1,1,5,926,720,18,1501,788,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
01010301804100,010103088801804100,01010301804,010103088801804,1,27.5,36.3,63.5,204.4,114.4,50-100,218,208,796,256,611,91,14,322,1804,11,13,1,1,5,1,1,1,5,925,719,18,1501,788,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
01010301804115,010103088801804115,01010301804,010103088801804,1,27.8,36.5,63.2,204.4,114.3,50-100,218,208,796,256,611,89,14,322,1776,11,13,1,1,5,1,1,1,5,924,718,18,1499,787,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
01010301804130,010103088801804130,01010301804,010103088801804,1,28.1,37,63.7,205.2,113.6,50-100,221,212,790,254,605,93,14,322,1750,11,13,1,1,4,1,1,1,4,921,716,18,1501,788,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
01010301804145,010103088801804145,01010301804,010103088801804,1,28,36.8,63.5,204.9,113.9,50-100,221,212,790,254,605,95,14,322,1757,11,13,1,1,4,1,1,1,4,922,716,18,1500,788,24,47,0.4355,178,257,45,0.4397,185,260,13.8440840301,38.4803250395
01010500204001,010105088800204001,01010500204,010105088800204,1,24.2,30.4,72.8,148,173,50-100,260,252,738,229,552,85,14,312,1156,12,8,1,1,4,1,1,1,4,1014,791,18,1590,806,20,47,0.4355,178,257,45,0.4397,185,260,14.0862760222,37.9831865445
01010500204025,010105088800204025,01010500204,010105088800204,1,28.2,34.6,73.9,143.7,177.2,50-100,262,255,721,223,539,73,30,312,1082,13,3,1,1,4,1,1,1,4,1021,799,18,1570,799,20,47,0.4355,178,257,45,0.4397,185,260,14.0862760222,37.9831865445
01010500204049,010105088800204049,01010500204,010105088800204,1,25.6,31.5,73.7,146.8,174.4,50-100,262,254,725,224,541,88,14,312,1140,12,8,1,1,4,1,1,1,4,1014,792,18,1583,803,20,47,0.4355,178,257,45,0.4397,185,260,14.0862760222,37.9831865445
