"household_id2","ea_id2","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","pop_density","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","srtm","twi","srtm_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2015_tot","h2015_wetQ","h2015_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2015_eviarea","h2015_evimax","h2015_grn","h2015_sen","lat_dd_mod","lon_dd_mod"
"010106088800402094","010106088800402",4,55,22,174,149,"50-100",246,235,787,244,593,42,20,322,1307,12,8,1,1,1,1,1,1,2,1084,871,18,1560,1191,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
"010106088800402112","010106088800402",5,56,21,173,150,"50-100",246,236,786,244,592,33,20,322,1294,10,8,1,1,1,1,1,1,2,1087,874,18,1563,1194,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
"010106088800402130","010106088800402",5,55,23,173,150,"50-100",245,234,792,246,597,31,30,322,1311,13,3,1,1,1,1,1,1,2,1083,870,18,1560,1191,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
"010106088800402148","010106088800402",4,53,24,173,149,"0-50",244,233,797,247,600,33,30,322,1332,13,3,1,1,1,1,1,1,2,1080,867,18,1557,1188,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
"010106088800402160","010106088800402",3,54,23,175,147,"50-100",244,235,792,246,597,38,30,322,1318,13,3,1,1,1,1,1,1,2,1078,866,18,1555,1186,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
"010106088800402167","010106088800402",5,53,24,173,149,"0-50",244,233,797,247,600,33,30,322,1334,13,3,1,1,1,1,1,1,2,1080,867,18,1556,1188,19,46,0.432,177,257,40,0.386,173,256,13.642517176,38.1191822345
"010107010100116012","010107010100116",1,2,77,176,147,"50-100",206,197,904,296,690,45,30,322,1887,13,3,1,1,2,1,1,1,2,1017,829,18,1507,1191,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116035","010107010100116",0,1,77,177,147,"2000-5000",204,194,907,297,692,38,30,322,1899,14,8,1,1,2,1,1,1,2,1020,832,18,1510,1198,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116058","010107010100116",0,1,77,177,147,"2000-5000",204,194,907,297,692,38,30,322,1899,14,8,1,1,2,1,1,1,2,1020,832,18,1510,1198,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116081","010107010100116",0,1,77,177,147,"2000-5000",204,194,907,297,692,40,110,322,1899,16,8,1,1,2,1,1,1,2,1020,832,18,1510,1198,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
